"";"species";"Abrev"
"1089";"Cecropia peltata";"Cecr"
"1090";"Coutoubea spicata";"Cout"
"1091";"Crotalaria retusa";"Crot"
"1092";"Emilia sonchifolia";"Emil"
"1093";"Euphorbia hyssopifolia";"Euph"
"1094";"Fleischmannia pratensis";"Flei"
"1095";"Gliricidia sepium";"Glir"
"1096";"Grona adscendens";"Gron"
"1097";"Ipomoea imperati";"Ipom"
"1098";"Ipomoea tiliacea";"Ipom"
"1099";"Ludwigia helminthorrhiza";"Ludw"
"1100";"Ludwigia octovalvis";"Ludw"
"1101";"Machaonia grandis";"Mach"
"1102";"Piper tuberculatum";"Pipe"
"1103";"Stachytarpheta jamaicensis";"Stac"
"1104";"Stigmaphyllon ciliatum";"Stig"
"1105";"Terminalia lucida";"Term"
"1106";"Tilesia baccata";"Tile"
"1107";"Passiflora auriculata";"Pass"
"1108";"Piper arboreum";"Pipe"
"1109";"Momordica charantia";"Momo"
"1110";"Solanum rude-pannum";"Sola"
"1111";"Mespilodaphne aurantiodora";"Mesp"
"1112";"Malachra capitata";"Mala"
"1113";"Dichorisandra hexandra";"Dich"
"1114";"Patagioenas plumbea";"Pata"
"1115";"Peridinetus irroratus";"Peri"
"1116";"Podischnus agenor";"Podi"
"1117";"Strategus aloeus";"Stra"
"1118";"Connarus nervatus";"Conn"
"1119";"Epidendrum sculptum";"Epid"
"1120";"Mosannona maculata";"Mosa"
"1121";"Garcinia intermedia";"Garc"
"1122";"Pseudoscops clamator";"Pseu"
"1123";"Microrhopias quixensis";"Micr"
"1124";"Synallaxis brachyura";"Syna"
"1125";"Synallaxis candei";"Syna"
"1126";"Taraba major";"Tara"
"1127";"Ficus nymphaeifolia";"Ficu"
"1128";"Scoparia dulcis";"Scop"
"1129";"Pleuropetalum pleiogynum";"Pleu"
"1130";"Carollia perspicillata";"Caro"
"1131";"Platyrrhinus helleri";"Plat"
"1132";"Ameiva praesignis";"Amei"
"1133";"Philodendron pseudauriculatum";"Phil"
"1134";"Steinchisma laxum";"Stei"
"1135";"Hieronyma alchorneoides";"Hier"
"1136";"Glossophaga longirostris";"Glos"
"1137";"Euphonia xanthogaster";"Euph"
"1138";"Micoureus demerarae";"Mico"
"1139";"Passiflora vesicaria";"Pass"
"1140";"Centratherum punctatum";"Cent"
"1141";"Corchorus siliquosus";"Corc"
"1142";"Monstera dubia";"Mons"
"1143";"Spathiphyllum friedrichsthalii";"Spat"
"1144";"Nidema ottonis";"Nide"
"1145";"Tillandsia polystachia";"Till"
"1146";"Swinglea glutinosa";"Swin"
"1147";"Monstera adansonii";"Mons"
"1148";"Ficus casapiensis";"Ficu"
"1149";"Genipa americana";"Geni"
"1150";"Pseudima frutescens";"Pseu"
"1151";"Besleria laxiflora";"Besl"
"1152";"Justicia phytolaccoides";"Just"
"1153";"Oryctanthus alveolatus";"Oryc"
"1154";"Oryctanthus grandis";"Oryc"
"1155";"Oryctanthus occidentalis";"Oryc"
"1156";"Hemidactylus mabouia";"Hemi"
"1157";"Mastigodryas boddaerti";"Mast"
"1158";"Porthidium lansbergii";"Port"
"1159";"Desmodus rotundus";"Desm"
"1160";"Cassipourea elliptica";"Cass"
"1161";"Thecadactylus rapicauda";"Thec"
"1162";"Enterolobium cyclocarpum";"Ente"
"1163";"Ficus elastica";"Ficu"
"1164";"Craugastor raniformis";"Crau"
"1165";"Sylvilagus floridanus";"Sylv"
"1166";"Ninia atrata";"Nini"
"1167";"Cnemidophorus lemniscatus";"Cnem"
"1168";"Baryphthengus martii";"Bary"
"1169";"Phoneutria depilata";"Phon"
"1170";"Guadua amplexifolia";"Guad"
"1171";"Gallinula chloropus";"Gall"
"1172";"Gymnocichla nudiceps";"Gymn"
"1173";"Manacus manacus";"Mana"
"1174";"Sporophila bouvronides";"Spor"
"1175";"Solanum atropurpureum";"Sola"
"1176";"Trichilia hirta";"Tric"
"1177";"Eucometis penicillata";"Euco"
"1178";"Passerina ciris";"Pass"
"1179";"Artibeus jamaicensis";"Arti"
"1180";"Sturnira lilium";"Stur"
"1181";"Aquarius horizontalis";"Aqua"
"1182";"Hamelia axillaris";"Hame"
"1183";"Columnea consanguinea";"Colu"
"1184";"Cynophalla amazonica";"Cyno"
"1185";"Dalechampia dioscoreifolia";"Dale"
"1186";"Geophila repens";"Geop"
"1187";"Swartzia robiniifolia";"Swar"
"1188";"Swartzia schultesii";"Swar"
"1189";"Carollia brevicaudum";"Caro"
"1190";"Calathea lutea";"Cala"
"1191";"Crinum jagus";"Crin"
"1192";"Abuta racemosa";"Abut"
"1193";"Aristolochia maxima";"Aris"
"1194";"Casearia combaymensis";"Case"
"1195";"Cayaponia peruviana";"Caya"
"1196";"Clitoria javitensis";"Clit"
"1197";"Coccoloba padiformis";"Cocc"
"1198";"Psychotria alfaroana";"Psyc"
"1199";"Hymenasplenium laetum";"Hyme"
"1200";"Vireo flavifrons";"Vire"
"1201";"Colostethus inguinalis";"Colo"
"1202";"Craugastor longirostris";"Crau"
"1203";"Andira chigorodensis";"Andi"
"1204";"Hawkesiophyton ulei";"Hawk"
"1205";"Herrania nitida";"Herr"
"1206";"Hymenaea martiana";"Hyme"
"1207";"Inga goldmanii";"Inga"
"1208";"Mucuna rostrata";"Mucu"
"1209";"Oxandra xylopioides";"Oxan"
"1210";"Piper bellum";"Pipe"
"1211";"Rinorea squamata";"Rino"
"1212";"Rourea adenophora";"Rour"
"1213";"Solanum splendens";"Sola"
